FF000000,FFFFFFFF,FFFFFFFF,FFFFFFFF,FFFFFFFF,FFFFFFFF,FFFFFFFF,FFFFFFFF,FFFFFFFF,FFFFFFFF,FFFFFFFF,FFFFFFFF,FFFFFFFF,FFFFFFFF,FFFFFFFF,FFFFFFFF,FFFFFFFF,FFFFFFFF,FFFFFFFF,FFFFFFFF
FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000
FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000
FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000
FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000
FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000
FF000000,FF000000,FF000000,FF000000,FF000000,FF623B3B,FF623B3B,FF623B3B,FF623B3B,FF623B3B,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF8E5415,FF000000,FF000000,FF000000
FF000000,FF000000,FF000000,FF000000,FF623B3B,FF623B3B,FF623B3B,FF000000,FF000000,FF000000,FF8E5415,FF8E5415,FF8E5415,FF000000,FF000000,FF000000,FF8E5415,FF000000,FF000000,FF000000
FF000000,FF000000,FF000000,FF623B3B,FF623B3B,FF623B3B,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF8E5415,FF8E5415,FF8E5415,FF8E5415,FF000000,FF000000,FF000000
FF000000,FF000000,FF623B3B,FF623B3B,FF623B3B,FF623B3B,FF000000,FF000000,FF8E5415,FF000000,FF000000,FF8E5415,FF000000,FF000000,FF8E5415,FF000000,FF000000,FF8E5415,FF000000,FF000000
FF000000,FF000000,FF623B3B,FF623B3B,FF623B3B,FF623B3B,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF8E5415,FF000000,FF000000,FF8E5415,FF000000,FF000000,FF8E5415,FF000000
FF000000,FF000000,FF623B3B,FF623B3B,FF623B3B,FF623B3B,FF000000,FF000000,FF000000,FF000000,FF8E5415,FF000000,FF8E5415,FF000000,FF000000,FF8E5415,FF000000,FF000000,FF8E5415,FF000000
FF000000,FF000000,FF623B3B,FF623B3B,FF623B3B,FF623B3B,FF000000,FF000000,FF8E5415,FF000000,FF000000,FF8E5415,FF000000,FF000000,FF8E5415,FF000000,FF000000,FF8E5415,FF000000,FF000000
FF000000,FF000000,FF000000,FF623B3B,FF623B3B,FF623B3B,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF8E5415,FF8E5415,FF8E5415,FF8E5415,FF000000,FF000000,FF000000
FF000000,FF000000,FF000000,FF000000,FF623B3B,FF623B3B,FF623B3B,FF000000,FF000000,FF000000,FF8E5415,FF8E5415,FF8E5415,FF000000,FF000000,FF000000,FF8E5415,FF000000,FF000000,FF000000
FF000000,FF000000,FF000000,FF000000,FF000000,FF623B3B,FF623B3B,FF623B3B,FF623B3B,FF623B3B,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF8E5415,FF000000,FF000000,FF000000
FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000
FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000
FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000
FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000,FF000000
